Chart Order,Written,Posted,Section,Quest Chain/Category,Quest Title,Short Description,XP,Badge Prerequisites,Quest Prerequisites,Requires Approval,Topic,Embed Code,Quest Chain,Est. Time,Repeatable
1,TRUE,TRUE,Group,Group,Helping Hands,Work with a classmate for 30 minutes.,50,Caught Up,,TRUE,Help Classmates,,,40,Weekly
2,TRUE,TRUE,Welcome,Welcome,Press Start(),Complete your first quest.,10,,,FALSE,Welcome to AGD,,,5,
3,TRUE,TRUE,Welcome,Welcome,Message in a Bottle,Get an introductory letter signed by your parents.,10,,Press Start(),TRUE,Letter to parents,,,0,
4,TRUE,TRUE,Welcome,Welcome,A Policy of Truth,Agree to the website and Acceptable Use policies.,10,,Press Start(),FALSE,Policies/Acceptable Use,,,5,
5,TRUE,TRUE,Review,Design,Back on the Platform,Play 3 games (10 minutes each) on 3 different platforms and write a short reflection about the experience.,50,,A Policy of Truth,TRUE,Platforms,,,40,
6,TRUE,TRUE,Review,Design,Still Not Genre Fiction,Play 3 games (10 minutes each) in 3 different genres. Write a short reflection.,50,,A Policy of Truth,TRUE,Genres,,Welcome,40,
7,TRUE,TRUE,Review,Design,The First of Many,Write a game design document for the game you’ll build as you review. Start simple.,100,,"Back on the Platform, Still Not Genre Fiction",TRUE,Game Design Document Format,,Welcome,30,
8,TRUE,TRUE,Review,Programming,Over and Over and Over and Over,Write a script that performs a repeated action 100 times. ,30,EL Designer,,FALSE,Loops,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/NiLqfxSw5WA"" frameborder=""0"" allowfullscreen></iframe>",Welcome,15,
9,TRUE,TRUE,Review,Programming,Do The Thing!,Write a script that includes a call to a custom function outside of the main thread.,30,EL Designer,,FALSE,Functions,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/WQnpeR7u7HM"" frameborder=""0"" allowfullscreen></iframe>",Welcome,15,
10,TRUE,TRUE,Review,Programming,Push to Close,Write a script that performs an action when a key is pressed.,30,EL Designer,,FALSE,Input.GetKeyDown(),"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/qf3Oo3BW83Y"" frameborder=""0"" allowfullscreen></iframe>",Welcome,15,
11,TRUE,TRUE,Review,Programming,Volatile Properties,Write a script that accesses a property of a component to change its value.,40,EL Designer,,FALSE,"Altering properties (light.intensity, etc.)","<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/BYwCXJ-J9dA"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
12,TRUE,TRUE,Review,Programming,Time. Delta Time.,Write a script that increases the brightness of a light by 1 unit per second. (Use tutorial video),40,EL Designer,,FALSE,time.DeltaTime,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/a-w7w8x_moE"" frameborder=""0"" allowfullscreen></iframe>",Welcome,20,
13,TRUE,TRUE,Review,Programming,On Time,Write a script that performs an action every 5 seconds.,50,,Time. Delta Time.,FALSE,time.Time,,Welcome,20,
14,TRUE,TRUE,Review,Unity UI,Purple Mountains Majesty,"Create a new terrain object and create a height map that includes hills, plateaus, mountains and sunken areas.",40,EL Designer,,FALSE,Create Terrain,"<iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/Ep-uo15gOJI"" frameborder=""0"" allowfullscreen></iframe>",,20,
15,TRUE,TRUE,Review,Unity UI,So Primitive,"Create a cube, sphere, cylinder, capsule and empty object.",25,EL Designer,,FALSE,Create Primitive Objects,,Game Designer,10,
16,TRUE,TRUE,Review,Unity UI,Do You Relate?,Create a simple object from primitives and connect it using parent/child relationships.,50,,So Primitive,TRUE,Parent/Child Relationships,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/0ZDZaKrofmc"" frameborder=""0"" allowfullscreen></iframe>",Game Designer,30,
17,TRUE,TRUE,Review,Unity UI,You’re a Maker Now,Create a prefab from your simple object and make 5 instances of it.,50,,Do You Relate?,FALSE,Make and Instantiate Prefabs,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/H1OkG3a1w-o"" frameborder=""0"" allowfullscreen></iframe>",Game Designer,20,
18,TRUE,TRUE,Review,Character Controller,The Easy Way Out,Import the character controller object from Unity’s built-in assets and instantiate it.,30,,You’re a Maker Now,FALSE,Instantiate Premade Character Controller,"<iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/gqqYIv1Ur7M"" frameborder=""0"" allowfullscreen></iframe>",Game Designer,15,
19,TRUE,TRUE,Review,Character Controller,Computer Controller,Find or create a player object and apply Unity’s built-in character controller components to it.,60,,The Easy Way Out,FALSE,Apply Character Controller Components,"<iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/izMg9Ez18Yo"" frameborder=""0"" allowfullscreen></iframe>",Game Designer,30,
20,TRUE,TRUE,Review,Physics,High Speed Collision,"For each type of collider, apply it to an object and take a screenshot.",30,,You’re a Maker Now,FALSE,Apply Colliders,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/bh9ArKrPY8w"" frameborder=""0"" allowfullscreen></iframe>",Game Designer,20,
21,TRUE,TRUE,Review,Physics,Itchy Trigger Finger,Explain the difference between colliders and triggers and give one example of when you would use each.,50,,You’re a Maker Now,TRUE,Convert Collider to Trigger,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/m0fjrQkaES4"" frameborder=""0"" allowfullscreen></iframe>",,30,
22,TRUE,TRUE,Review,Physics,So Rigid,Test Translate() and AddForce() on a rigidbody and static object and describe the difference.,50,,You’re a Maker Now,TRUE,Applying Rigidbody component to objects,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/WTGcs10Sj34"" frameborder=""0"" allowfullscreen></iframe>",Programmer,30,
23,TRUE,TRUE,Review,Physics,Use The Force,Write a script that adds a force to an object.,30,,So Rigid,FALSE,Rigidbody.AddForce(),"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/MBDWTjn05eg"" frameborder=""0"" allowfullscreen></iframe>",Welcome,15,
24,TRUE,TRUE,Review,Assets,Go Shopping,Import an asset into your project from the store.,25,EL Designer,,FALSE,Import Assets from Store,,Programmer,15,
25,TRUE,TRUE,Review,Assets,Parcel Post,Import a built-in asset package.,20,EL Designer,,FALSE,Import Assets from Unity Packages,,Programmer,10,
26,TRUE,TRUE,Review,Lighting,Light ‘Em Up Up Up,"Select an appropriate light type for a situation, implement it and explain your decision.",30,EL Designer,,TRUE,Light Types,"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/u5DNkxkXBeI"" frameborder=""0"" allowfullscreen></iframe>",Programmer,20,
27,TRUE,TRUE,Review,Lighting,Light Show,Create a light show.,100,,Light ‘Em Up Up Up,TRUE,Scripting for Lights,,Programmer,60,
28,TRUE,TRUE,Intermediate,Design,In Design [Repeatable],Research a design topic and write a pitch or short game design document for a game that exemplifies the principle that you read about.,100,Caught Up,,TRUE,Game Design Topics,,Welcome,60,
29,TRUE,TRUE,Intermediate,Cameras/Visualization,The Sky’s The Limit,Add a skybox to your game in two ways: render settings and skybox component.,50,Caught Up,,FALSE,Skyboxes,"<iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/-YLvAOL4fNo"" frameborder=""0"" allowfullscreen></iframe>",Welcome,30,
30,TRUE,TRUE,Intermediate,Cameras/Visualization,Feelin’ Foggy,Set fog and ambient light settings to fit your game and explain your choices.,50,Caught Up,,TRUE,"Render Settings (Fog, etc.)",,Welcome,30,
31,TRUE,TRUE,Intermediate,Modeling,Welcome to Blender,"Take a screenshot of the Object view in Blender, including your cube, camera and 3D cursor.",30,Caught Up,,FALSE,Blender Basics,http://www.youtube.com/watch?v=VmOFRkRjOSQ&list=PL006307E237BB7FF6&index=1,Welcome,15,
32,TRUE,TRUE,Intermediate,Modeling,My Savior!,Take a screenshot of your customized UI preferences.,30,,Welcome to Blender,FALSE,Customizing and Saving the UI,http://www.youtube.com/watch?v=dQKsXmlDf78&list=PL006307E237BB7FF6&index=2,Welcome,15,
33,TRUE,TRUE,Intermediate,Modeling,A Few Alterations,Add a primitive object and alter it in some way.,40,,My Savior!,FALSE,Adding and Transforming Objects,http://www.youtube.com/watch?v=wklRKGC7ai8&list=PL006307E237BB7FF6&index=3,Welcome,20,
